img_id,img_saved_id,pre,re,TPs,FPs,FNs,Pre_ave,Re_ave
57581,57581_0_0.png,0,0,0,0,1,1.0,0.0
4531,4531_0_1.png,0.9090909090909091,0.6666666666666666,10,1,5,0.625,0.6666666666666666
17362,17362_0_2.png,0.9166666666666666,0.8461538461538461,11,1,2,0.7857142857142857,0.8461538461538461
36149,36149_0_3.png,1.0,0.5,1,0,1,0.5,0.5
58777,58777_0_4.png,1.0,0.8571428571428571,12,0,2,0.9230769230769231,0.8571428571428571
60172,60172_0_5.png,1.0,0.625,5,0,3,0.7142857142857143,0.625
12512,12512_0_6.png,0.5,1.0,2,2,0,0.5,1.0
55629,55629_0_7.png,0.9166666666666666,0.9166666666666666,11,1,1,0.8461538461538461,0.9166666666666666
32063,32063_0_8.png,1.0,0.9375,15,0,1,0.9375,0.9375
39873,39873_0_9.png,0.8,0.7272727272727273,8,2,3,0.6153846153846154,0.7272727272727273
59060,59060_0_10.png,1.0,0.8571428571428571,6,0,1,1.0,0.8571428571428571
35704,35704_0_11.png,0.75,1.0,3,1,0,0.75,1.0
12171,12171_0_12.png,1.0,0.7619047619047619,16,0,5,0.8888888888888888,0.7619047619047619
3906,3906_0_13.png,0.9473684210526315,0.782608695652174,18,1,5,0.75,0.782608695652174
27467,27467_0_14.png,0.9166666666666666,0.7857142857142857,11,1,3,0.7333333333333333,0.7857142857142857
28405,28405_0_15.png,1.0,0.8888888888888888,8,0,1,0.875,0.7777777777777778
31480,31480_0_16.png,1.0,0.9090909090909091,10,0,1,1.0,0.9090909090909091
50105,50105_0_17.png,1.0,0.9166666666666666,11,0,1,0.9166666666666666,0.9166666666666666
29706,29706_0_18.png,1.0,0.8125,13,0,3,0.9285714285714286,0.8125
36544,36544_0_19.png,1.0,0.6666666666666666,6,0,3,0.75,0.6666666666666666
51213,51213_0_20.png,1.0,0.7692307692307693,10,0,3,0.9090909090909091,0.7692307692307693
1092,1092_0_21.png,1.0,0.8888888888888888,8,0,1,0.8888888888888888,0.8888888888888888
51219,51219_0_22.png,1.0,0.5714285714285714,4,0,3,0.6666666666666666,0.5714285714285714
46408,46408_0_23.png,0.75,1.0,3,1,0,0.75,1.0
18390,18390_0_24.png,0.75,1.0,3,1,0,0.75,1.0
28918,28918_0_25.png,1.0,0.7777777777777778,14,0,4,0.875,0.7777777777777778
45163,45163_0_26.png,1.0,0.75,3,0,1,1.0,0.75
45108,45108_0_27.png,1.0,0.9090909090909091,10,0,1,1.0,0.9090909090909091
38022,38022_0_28.png,0.875,0.7777777777777778,7,1,2,0.7,0.7777777777777778
54665,54665_0_29.png,0.9166666666666666,1.0,11,1,0,0.9166666666666666,1.0
40925,40925_0_30.png,1.0,0.8571428571428571,12,0,2,1.0,0.8571428571428571
4239,4239_0_31.png,1.0,0.8,4,0,1,0.8,0.8
44035,44035_0_32.png,1.0,0.8333333333333334,5,0,1,0.8333333333333334,0.8333333333333334
37095,37095_0_33.png,0.9333333333333333,1.0,14,1,0,0.9333333333333333,1.0
39110,39110_0_34.png,1.0,0.5,4,0,4,1.0,0.5
13131,13131_0_35.png,1.0,0.5,1,0,1,1.0,0.5
39392,39392_0_36.png,0.8333333333333334,0.9090909090909091,10,2,1,0.7692307692307693,0.9090909090909091
26700,26700_0_37.png,1.0,0.8125,13,0,3,0.9285714285714286,0.8125
14503,14503_0_38.png,0.75,1.0,3,1,0,0.75,1.0
37676,37676_0_39.png,1.0,1.0,1,0,0,1.0,1.0
29980,29980_0_40.png,1.0,1.0,1,0,0,1.0,1.0
7393,7393_0_41.png,1.0,0.7894736842105263,15,0,4,0.9375,0.7894736842105263
29277,29277_0_42.png,1.0,0.8,12,0,3,0.8,0.8
32086,32086_0_43.png,1.0,0.6923076923076923,9,0,4,0.8181818181818182,0.6923076923076923
22312,22312_0_44.png,1.0,0.6666666666666666,8,0,4,0.6666666666666666,0.6666666666666666
41669,41669_0_45.png,1.0,0.75,3,0,1,0.75,0.75
